,date,fromStart,infectionRateCI90,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,FoxPolarity,VoxPolarity
119,2020-07-13,124,0.1,0.104,18.2,127.2,1.07,0.1726425925925926,0.9874444444444443
120,2020-07-14,125,0.1,0.104,18.7,130.7,1.07,0.0997435643564356,0.773775
121,2020-07-15,126,0.1,0.103,19.1,133.4,1.06,0.1422085784313725,0.6408866666666667
122,2020-07-16,127,0.1,0.102,19.7,138.1,1.05,0.2252473684210526,0.3922333333333332
123,2020-07-17,128,0.1,0.101,19.8,138.9,1.04,0.124026213592233,0.8085866666666667
124,2020-07-18,129,0.1,0.1,19.9,139.4,1.03,0.1112208333333333,0.57478
125,2020-07-19,130,0.1,0.099,20.1,140.8,1.02,0.1853959568733154,0.15535
126,2020-07-20,131,0.1,0.098,20.0,140.3,1.01,0.2142821705426356,0.4024142857142857
127,2020-07-21,132,0.1,0.097,20.0,140.2,1.0,0.1930462962962963,0.6614416666666666
128,2020-07-22,133,0.1,0.096,20.1,140.6,0.99,0.1226355769230769,0.5826666666666667
129,2020-07-23,134,0.1,0.095,19.8,138.9,0.98,0.1705176136363636,0.3507833333333334
130,2020-07-24,135,0.1,0.094,19.9,139.5,0.98,0.2825668032786885,0.6626785714285715
131,2020-07-25,136,0.1,0.093,20.1,140.9,0.97,0.3121906810035842,0.9949
132,2020-07-26,137,0.1,0.093,19.8,138.4,0.96,0.2287787003610108,0.99715
133,2020-07-27,138,0.1,0.092,19.7,138.2,0.96,0.2153015957446808,0.829275
134,2020-07-28,139,0.1,0.09,19.6,137.5,0.95,0.0908256172839506,0.6240066666666667
135,2020-07-29,140,0.1,0.089,19.5,136.5,0.95,0.18989332247557,0.8619875
136,2020-07-30,141,0.1,0.088,19.5,136.2,0.94,0.2789661157024793,0.8425714285714285
137,2020-07-31,142,0.1,0.087,19.3,135.0,0.94,0.3687968169761274,0.5777466666666666
138,2020-08-01,143,0.1,0.085,18.9,132.0,0.94,0.3435213178294574,0.4275142857142857
139,2020-08-02,144,0.1,0.083,18.7,131.0,0.93,0.2276241803278688,0.9447
140,2020-08-03,145,0.1,0.082,18.2,127.5,0.93,0.2353617577197149,0.6840833333333333
141,2020-08-04,146,0.1,0.08,17.8,124.6,0.93,0.2374214953271028,0.6124142857142857
142,2020-08-05,147,0.1,0.079,17.2,120.7,0.93,0.2163030640668523,0.7146750000000001
143,2020-08-06,148,0.1,0.077,16.8,117.3,0.93,0.1774334630350194,0.7372000000000001
144,2020-08-07,149,0.1,0.075,16.4,114.9,0.92,0.3500985074626865,0.2978071428571428
145,2020-08-08,150,0.1,0.074,16.3,114.4,0.92,0.3193522435897436,0.98675
146,2020-08-09,151,0.1,0.073,16.2,113.7,0.92,0.2853504807692307,0.2075
147,2020-08-10,152,0.1,0.072,16.2,113.6,0.92,0.2302469740634005,0.12095
148,2020-08-11,153,0.1,0.07,16.2,113.6,0.92,0.195056906077348,0.573178947368421
149,2020-08-12,154,0.1,0.068,16.2,113.7,0.92,0.4345589371980676,0.97796
150,2020-08-13,155,0.1,0.067,16.1,112.7,0.92,0.392022641509434,0.4624999999999999
151,2020-08-14,156,0.1,0.065,16.0,111.9,0.92,0.2615790697674418,0.5629583333333333
152,2020-08-15,157,0.1,0.064,15.8,110.6,0.92,0.2527376288659794,0.6772833333333333
153,2020-08-16,158,0.1,0.063,15.3,107.2,0.92,0.232010546875,0.9960333333333334
154,2020-08-17,159,0.1,0.063,14.8,103.8,0.92,0.2836992924528302,0.4994533333333333
155,2020-08-18,160,0.1,0.061,14.4,100.6,0.92,0.1492207547169811,0.630373076923077
156,2020-08-19,161,0.1,0.06,13.9,97.1,0.93,0.3711997752808988,0.6980529411764705
157,2020-08-20,162,0.1,0.059,13.5,94.7,0.93,0.3134420118343195,0.9182384615384614
158,2020-08-21,163,0.1,0.058,13.1,91.6,0.93,0.3421847826086956,0.7210904761904763
159,2020-08-22,164,0.1,0.057,12.8,89.5,0.94,0.229752229299363,0.9830333333333332
160,2020-08-23,165,0.1,0.057,12.6,88.1,0.94,0.3315401425178147,0.96885
161,2020-08-24,166,0.1,0.056,12.7,88.9,0.94,0.3727447916666667,0.8524263157894737
162,2020-08-25,167,0.1,0.056,12.5,87.8,0.95,0.2999703821656051,0.6928842105263158
163,2020-08-26,168,0.1,0.056,12.6,88.0,0.95,0.4353230769230769,0.4981423076923077
164,2020-08-27,169,0.1,0.056,12.5,87.8,0.95,0.3070276497695852,0.3698703703703703
165,2020-08-28,170,0.1,0.056,12.5,87.2,0.95,0.391363111111111,0.4221666666666666
166,2020-08-29,171,0.1,0.055,12.5,87.3,0.95,0.3254729508196721,0.6767000000000001
167,2020-08-30,172,0.1,0.055,12.5,87.6,0.96,0.2132345724907063,-0.3350333333333333
168,2020-08-31,173,0.1,0.055,12.4,87.0,0.96,0.0810328467153284,0.20619
169,2020-09-02,175,0.1,0.054,12.4,86.5,0.96,0.2093625850340136,0.5269
170,2020-09-03,176,0.1,0.054,12.4,86.8,0.96,-0.0018113207547169,0.26088125
171,2020-09-04,177,0.1,0.053,12.4,86.6,0.97,0.1321540404040404,0.4912416666666666
172,2020-09-05,178,0.1,0.052,12.3,85.8,0.97,0.2201046242774566,0.98725
173,2020-09-06,179,0.1,0.052,12.1,84.6,0.98,0.1117601851851851,0.003775
174,2020-09-07,180,0.1,0.052,11.5,80.7,0.98,0.0718617647058823,0.9914
175,2020-09-08,181,0.1,0.051,11.1,77.8,0.99,0.2538808917197452,0.5529571428571429
176,2020-09-09,182,0.1,0.05,10.8,75.7,0.99,0.1401504901960784,0.4414388888888889
177,2020-09-10,183,0.1,0.049,10.5,73.4,1.0,0.1090582677165354,0.6779384615384616
178,2020-09-11,184,0.1,0.047,10.6,73.9,1.01,0.1463728476821192,0.5595214285714285
179,2020-09-12,185,0.1,0.047,10.4,72.9,1.01,-0.0659520833333333,0.3643333333333333
180,2020-09-13,186,0.1,0.047,10.5,73.3,1.02,0.2597141304347826,0.97395
181,2020-09-14,187,0.1,0.046,11.0,76.8,1.02,0.0374990990990991,0.2912529411764706
182,2020-09-15,188,0.1,0.046,11.3,79.3,1.03,0.3428317580340265,0.6438076923076923
183,2020-09-16,189,0.1,0.046,11.6,81.1,1.03,0.3011600928074246,0.166
184,2020-09-17,190,0.1,0.046,11.9,83.1,1.03,0.1971928118393234,0.2707272727272727
185,2020-09-18,191,0.1,0.046,11.9,83.2,1.04,0.2401823529411764,0.8115217391304348
186,2020-09-19,192,0.1,0.045,12.0,84.1,1.04,0.3419753768844221,0.6858210526315789
187,2020-09-20,193,0.1,0.045,12.1,84.9,1.04,0.3688588996763754,0.3843666666666666
188,2020-09-22,195,0.1,0.046,12.2,85.3,1.04,0.2133646840148698,0.43652
189,2020-09-23,196,0.1,0.046,12.3,86.2,1.04,0.2691461538461538,0.68966
190,2020-09-24,197,0.1,0.046,12.3,86.3,1.04,0.1235076363636363,0.3752727272727272
191,2020-09-25,198,0.1,0.046,12.3,85.9,1.04,0.3414218106995885,0.496847619047619
192,2020-09-26,199,0.1,0.047,12.3,86.2,1.04,0.3361123417721519,0.7507875
193,2020-09-27,200,0.1,0.047,12.5,87.3,1.04,0.4209827411167512,0.986075
194,2020-09-28,201,0.1,0.048,12.3,86.1,1.05,0.4902346341463414,0.53754375
195,2020-09-29,202,0.1,0.048,12.6,88.3,1.05,0.3780989864864865,0.5900166666666666
196,2020-09-30,203,0.1,0.048,12.6,88.1,1.06,0.2984103286384976,0.5904875
197,2020-10-01,204,0.1,0.048,12.6,88.5,1.06,0.2626274760383386,0.4436380952380952
198,2020-10-02,205,0.1,0.048,12.8,89.5,1.07,0.4430556338028169,0.50281
199,2020-10-03,206,0.1,0.048,13.0,90.7,1.07,0.2608757009345794,0.5866444444444444
200,2020-10-04,207,0.1,0.048,12.9,90.0,1.08,0.3743510638297872,0.5254749999999999
201,2020-10-05,208,0.1,0.048,13.0,91.1,1.08,0.4168381165919282,0.43685
202,2020-10-06,209,0.1,0.048,13.0,91.3,1.09,0.4419018181818182,0.7756166666666666
203,2020-10-07,210,0.1,0.048,13.5,94.4,1.09,0.2666722222222222,0.6153178571428571
204,2020-10-08,211,0.1,0.048,13.9,97.4,1.09,0.3189594696969697,0.6725157894736842
205,2020-10-09,212,0.1,0.049,14.3,100.0,1.1,0.3280162895927602,0.37894
206,2020-10-10,213,0.1,0.049,14.5,101.5,1.1,0.4097970198675497,0.4027125
207,2020-10-11,214,0.1,0.05,14.9,104.4,1.11,0.1720155778894472,0.27315
208,2020-10-12,215,0.1,0.052,15.2,106.5,1.11,0.3965479262672811,0.6486692307692308
209,2020-10-13,216,0.1,0.054,15.7,110.0,1.11,0.3631247619047619,0.9450583333333332
210,2020-10-14,217,0.1,0.055,16.1,112.7,1.11,0.3654113513513514,0.7071565217391305
211,2020-10-15,218,0.1,0.056,16.5,115.4,1.11,0.303234,0.8498857142857142
212,2020-10-16,219,0.1,0.058,17.0,118.8,1.12,0.3375457364341085,0.6621290322580645
213,2020-10-17,220,0.1,0.058,17.0,119.2,1.12,0.2804215189873418,0.0557999999999999
214,2020-10-18,221,0.1,0.059,17.2,120.1,1.12,0.2668894736842105,0.98502
215,2020-10-19,222,0.1,0.059,17.9,125.4,1.12,0.406090350877193,0.8465083333333333
216,2020-10-20,223,0.1,0.059,18.2,127.2,1.13,0.3967710365853658,0.7771619047619047
217,2020-10-21,224,0.1,0.06,18.4,128.5,1.13,0.2485794392523364,0.7347066666666666
218,2020-10-22,225,0.1,0.061,18.8,131.5,1.13,0.3591019736842105,0.5081433333333333
220,2020-10-24,227,0.1,0.064,20.4,142.6,1.14,0.3487071428571428,0.5138875
221,2020-10-25,228,0.1,0.066,20.9,146.1,1.15,0.3160623529411764,0.4203571428571428
222,2020-10-26,229,0.1,0.067,21.1,147.8,1.15,0.282748427672956,0.7370217391304348
223,2020-10-27,230,0.1,0.068,21.7,151.9,1.16,0.2664038834951456,0.8308807692307691
224,2020-10-28,231,0.1,0.069,22.5,157.3,1.16,0.2484058098591549,0.5918
225,2020-10-29,232,0.1,0.071,23.1,162.0,1.17,0.3270407643312101,0.5630400000000001
226,2020-10-30,233,0.1,0.073,23.9,167.5,1.17,0.3223703703703704,0.906156
227,2020-10-31,234,0.1,0.074,24.2,169.2,1.18,0.5085294663573086,0.6124333333333333
228,2020-11-01,235,0.1,0.076,24.7,173.1,1.18,0.4211340659340659,0.39198
229,2020-11-02,236,0.1,0.077,25.7,180.1,1.19,0.5100685606060605,0.5191666666666667
230,2020-11-03,237,0.1,0.08,26.5,185.6,1.19,0.4685284671532846,0.6501272727272728
231,2020-11-04,238,0.1,0.083,27.6,193.5,1.19,0.4942775943396226,0.7898931506849315
232,2020-11-05,239,0.1,0.086,29.0,202.7,1.19,0.3809765079365079,0.639268
233,2020-11-06,240,0.1,0.089,30.3,212.3,1.19,0.3376648148148148,0.8116911111111111
234,2020-11-07,241,0.1,0.091,31.9,223.6,1.18,0.41821,0.7453
235,2020-11-08,242,0.1,0.094,33.3,232.9,1.18,0.4004629392971245,0.8988909090909091
236,2020-11-09,243,0.1,0.097,34.8,243.8,1.17,0.3266112804878049,0.8625722222222222
237,2020-11-10,244,0.1,0.1,36.9,258.0,1.16,0.3095211796246649,0.516915
239,2020-11-12,246,0.1,0.106,40.2,281.3,1.14,0.3479521428571429,0.4078933333333333
240,2020-11-13,247,0.1,0.108,42.3,296.2,1.13,0.163891156462585,0.7066142857142858
241,2020-11-14,248,0.1,0.109,43.9,307.6,1.12,0.3094119246861924,0.50365
242,2020-11-15,249,0.1,0.109,45.3,317.2,1.11,0.2731122641509434,0.990675
243,2020-11-16,250,0.1,0.108,46.9,328.1,1.1,0.302513782051282,0.3259
244,2020-11-17,251,0.1,0.107,47.8,334.8,1.09,0.2089575197889182,0.8857333333333333
245,2020-11-18,252,0.1,0.105,49.1,343.7,1.08,0.3167818181818181,0.8738699999999999
246,2020-11-19,253,0.1,0.104,50.1,350.9,1.07,0.3301817330210772,0.8757055555555556
247,2020-11-20,254,0.1,0.103,50.9,356.1,1.06,0.255082044198895,0.9638277777777778
248,2020-11-21,255,0.1,0.102,51.4,360.0,1.06,0.344488326848249,0.98348
249,2020-11-22,256,0.1,0.101,51.7,361.7,1.05,0.3253646956521739,0.95252
250,2020-11-23,257,0.1,0.1,52.2,365.7,1.05,0.2568114285714286,0.81098
251,2020-11-24,258,0.1,0.099,52.9,370.6,1.05,0.4385575949367088,0.6833235294117648
252,2020-11-25,259,0.1,0.099,53.3,373.1,1.05,0.4407147435897436,0.7932
253,2020-11-26,260,0.1,0.099,49.7,347.6,1.05,0.377780904522613,0.775475
254,2020-11-27,261,0.1,0.101,50.0,349.7,1.05,0.3423522727272727,0.22104
255,2020-11-28,262,0.1,0.104,49.1,343.5,1.05,0.3468258706467662,0.9929
256,2020-11-29,263,0.1,0.107,48.9,342.1,1.06,0.3583434285714285,0.2364666666666666
257,2020-11-30,264,0.1,0.11,48.4,338.5,1.06,0.3078377142857142,0.8065785714285714
258,2020-12-01,265,0.1,0.113,48.6,340.1,1.06,0.2646013812154696,0.6901769230769231
259,2020-12-02,266,0.1,0.118,49.5,346.2,1.06,0.2288079229122055,0.7585294117647059
260,2020-12-03,267,0.1,0.12,54.4,380.9,1.06,0.3027484641638225,0.4611058823529412
261,2020-12-04,268,0.1,0.12,55.5,388.6,1.06,0.3721441108545034,0.6842307692307692
262,2020-12-05,269,0.1,0.12,57.8,404.9,1.06,0.2107544827586207,0.0126999999999999
263,2020-12-06,270,0.1,0.12,59.4,415.7,1.06,0.3368468487394958,0.500675
264,2020-12-07,271,0.1,0.12,61.0,426.9,1.05,0.3021504587155963,0.7371625
265,2020-12-08,272,0.1,0.119,61.4,429.5,1.05,0.3181611464968153,0.9868681818181816
266,2020-12-09,273,0.1,0.118,62.2,435.1,1.04,0.3230295238095238,0.83398125
267,2020-12-10,274,0.1,0.117,62.5,437.5,1.04,0.2664158490566037,0.8177190476190477
268,2020-12-12,276,0.1,0.118,61.4,429.7,1.02,0.2777005464480874,0.36265
269,2020-12-13,277,0.1,0.118,62.0,434.0,1.02,0.3297901678657075,0.9465333333333332
